Generated with:

import os
from idautils import *
from idaapi import *
from idc import *

for segea in Segments():
    for ea in Functions(segea, SegEnd(segea)):
        eaEnd = FindFuncEnd(ea)
        startOffset = idaapi.get_fileregion_offset(ea)
        endOffset = idaapi.get_fileregion_offset(eaEnd)
        
        print str(hex(ea))[:-1] + ", " + str(startOffset) + ", " + str(endOffset)

Needs adding to build.ps1 with the first column as the selector for the inputs to mdasm.exe

0x800148b8, 20664, 21056
0x80014a40, 21056, 21116
0x80014a7c, 21116, 21164
0x80014aac, 21164, 21172
0x80014b1c, 21276, 21284
0x80014b24, 21284, 21292
0x80014b2c, 21292, 21300
0x80014b34, 21300, 21344
0x80014b60, 21344, 21464
0x80014bd8, 21464, 21544
0x80014c28, 21544, 21616
0x80014c70, 21616, 21704
0x80014cc8, 21704, 21744
0x80014cf0, 21744, 21784
0x80014d18, 21784, 21912
0x80014d98, 21912, 22024
0x80014e08, 22024, 22060
0x80014e2c, 22060, 22408
0x80014f88, 22408, 22544
0x80015010, 22544, 22696
0x800150a8, 22696, 22756
0x800150e4, 22756, 22860
0x8001514c, 22860, 22884
0x80015164, 22884, 22984
0x800151c8, 22984, 23000
0x800151d8, 23000, 23104
0x80015240, 23104, 23260
0x800152dc, 23260, 23292
0x800152fc, 23292, 23340
0x8001538c, 23436, 23488
0x800153c0, 23488, 23576
0x80015418, 23576, 23604
0x80015434, 23604, 23640
0x80015458, 23640, 23684
0x80015484, 23684, 23872
0x80015540, 23872, 23996
0x800155bc, 23996, 24296
0x80015718, 24344, 24376
0x80015758, 24408, 24600
0x80015818, 24600, 24692
0x80015874, 24692, 24776
0x800158c8, 24776, 24868
0x80015924, 24868, 25016
0x800159b8, 25016, 25264
0x80015ab0, 25264, 25332
0x80015af4, 25332, 25420
0x80015b4c, 25420, 25592
0x80015eb8, 26296, 26328
0x80015ed8, 26328, 26576
0x80015fd0, 26576, 26744
0x80016078, 26744, 26840
0x800160d8, 26840, 27036
0x8001619c, 27036, 27148
0x8001620c, 27148, 27184
0x80016230, 27184, 27220
0x80016254, 27220, 27260
0x8001627c, 27260, 27404
0x8001630c, 27404, 27568
0x800163b0, 27568, 27588
0x800163c4, 27588, 27608
0x800163d8, 27608, 27692
0x8001642c, 27692, 27820
0x800164ac, 27820, 27848
0x800164c8, 27848, 27908
0x80016504, 27908, 28192
0x80016620, 28192, 28332
0x800166ac, 28332, 28400
0x800166f0, 28400, 28496
0x80016750, 28496, 28616
0x800167c8, 28616, 28716
0x8001682c, 28716, 29816
0x80016c78, 29816, 29828
0x80016c84, 29828, 29840
0x80016ccc, 29900, 29952
0x80016d00, 29952, 30016
0x80016d40, 30016, 30080
0x80016d80, 30080, 30172
0x80016ddc, 30172, 30340
0x80016e84, 30340, 30456
0x80016ef8, 30456, 30500
0x80016f24, 30500, 30624
0x80016fa0, 30624, 30784
0x80017040, 30784, 30796
0x8001704c, 30796, 30828
0x8001706c, 30828, 30864
0x80017090, 30864, 30908
0x800170bc, 30908, 30960
0x800170f0, 30960, 31060
0x80017154, 31060, 31068
0x8001715c, 31068, 31124
0x80017194, 31124, 31400
0x800172a8, 31400, 31440
0x800172d0, 31440, 31964
0x800174dc, 31964, 32148
0x80017594, 32148, 32224
0x80017784, 32644, 32748
0x800177ec, 32748, 32912
0x80017890, 32912, 32984
0x80017984, 33156, 33192
0x800179a8, 33192, 33268
0x800179f4, 33268, 33584
0x80017b30, 33584, 33688
0x80017b98, 33688, 34380
0x80017e4c, 34380, 34460
0x80017e9c, 34460, 34856
0x80018028, 34856, 35112
0x80018178, 35192, 35300
0x800181e4, 35300, 35444
0x80018274, 35444, 35552
0x800182e0, 35552, 35716
0x80018384, 35716, 35796
0x800183d4, 35796, 35916
0x8001844c, 35916, 35940
0x80018464, 35940, 36084
0x800184f4, 36084, 36128
0x80018520, 36128, 36168
0x80018548, 36168, 36212
0x80018598, 36248, 36276
0x800185bc, 36284, 37284
0x800189a4, 37284, 38176
0x80018d28, 38184, 38288
0x80018d90, 38288, 38492
0x80018e5c, 38492, 38820
0x80018fa4, 38820, 38980
0x80019044, 38980, 39064
0x800190a0, 39072, 39196
0x8001911c, 39196, 39316
0x80019194, 39316, 39372
0x800191cc, 39372, 39484
0x8001923c, 39484, 39704
0x80019318, 39704, 40008
0x80019448, 40008, 40628
0x800196b4, 40628, 41244
0x8001991c, 41244, 42160
0x80019cb0, 42160, 42308
0x80019d44, 42308, 42808
0x80019f40, 42816, 42880
0x80019f80, 42880, 43000
0x80019ff8, 43000, 43080
0x8001a048, 43080, 43116
0x8001a06c, 43116, 43156
0x8001a094, 43156, 43236
0x8001a0e4, 43236, 43284
0x8001a114, 43284, 43432
0x8001a1a8, 43432, 43972
0x8001a3c4, 43972, 44496
0x8001a5d8, 44504, 44656
0x8001a670, 44656, 44772
0x8001a6e4, 44772, 44916
0x8001a774, 44916, 45496
0x8001a9b8, 45496, 45648
0x8001aa50, 45648, 45776
0x8001aad0, 45776, 45844
0x8001aba8, 45992, 46080
0x8001ac08, 46088, 46196
0x8001ac74, 46196, 46376
0x8001ad28, 46376, 46496
0x8001ada0, 46496, 46684
0x8001ae5c, 46684, 46992
0x8001af90, 46992, 47284
0x8001b0b4, 47284, 47592
0x8001b1e8, 47592, 47700
0x8001b254, 47700, 47900
0x8001b31c, 47900, 48436
0x8001b534, 48436, 48636
0x8001b5fc, 48636, 48748
0x8001b66c, 48748, 49844
0x8001babc, 49852, 50180
0x8001bc04, 50180, 50216
0x8001bc44, 50244, 50316
0x8001bc8c, 50316, 50464
0x8001bd20, 50464, 50532
0x8001bd64, 50532, 50616
0x8001bdb8, 50616, 50688
0x8001be00, 50688, 50760
0x8001be48, 50760, 50840
0x8001be98, 50840, 50936
0x8001bf34, 50996, 51596
0x8001c18c, 51596, 51784
0x8001c248, 51784, 52320
0x8001c460, 52320, 52684
0x8001c5cc, 52684, 53000
0x8001c708, 53000, 54712
0x8001cdb8, 54712, 55008
0x8001cee0, 55008, 55168
0x8001cf88, 55176, 55348
0x8001d034, 55348, 55708
0x8001d19c, 55708, 56100
0x8001d324, 56100, 56768
0x8001d5c8, 56776, 57208
0x8001d778, 57208, 57352
0x8001d808, 57352, 57392
0x8001d830, 57392, 57472
0x8001d880, 57472, 57836
0x8001db10, 58128, 58144
0x8001db20, 58144, 58348
0x8001dbec, 58348, 58504
0x8001dc90, 58512, 58768
0x8001dd90, 58768, 59208
0x8001df48, 59208, 60352
0x8001e3c0, 60352, 60800
0x8001e734, 61236, 61740
0x8001e92c, 61740, 62168
0x8001ead8, 62168, 62264
0x8001ecb4, 62644, 62924
0x8001edcc, 62924, 63508
0x8001f014, 63508, 63608
0x8001f078, 63608, 63932
0x8001f1bc, 63932, 63964
0x8001f1dc, 63964, 64092
0x8001f25c, 64092, 64132
0x8001f284, 64132, 64460
0x8001f3cc, 64460, 64748
0x8001f4ec, 64748, 65016
0x8001f5f8, 65016, 65040
0x8001f610, 65040, 65092
0x8001f644, 65092, 65136
0x8001f670, 65136, 65204
0x8001f6b4, 65204, 65212
0x8001f6bc, 65212, 65308
0x8001f71c, 65308, 65692
0x8001f89c, 65692, 65824
0x8001f920, 65824, 66256
0x8001fad0, 66256, 66600
0x8001fc28, 66600, 66648
0x8001fc58, 66648, 66696
0x8001fc88, 66696, 66736
0x8001fcb0, 66736, 66780
0x8001fcdc, 66780, 66852
0x8001fd24, 66852, 66860
0x8001fd2c, 66860, 66880
0x8001fd40, 66880, 66992
0x8001fdb0, 66992, 67112
0x8001fe28, 67112, 67200
0x8001fe80, 67200, 67324
0x8001fefc, 67324, 67372
0x8001ff2c, 67372, 67488
0x8001ffa0, 67488, 67684
0x80020064, 67684, 67864
0x80020118, 67864, 68136
0x80020228, 68136, 68212
0x80020400, 68608, 68620
0x8002040c, 68620, 68656
0x80020430, 68656, 69004
0x8002058c, 69004, 69264
0x80020690, 69264, 69276
0x8002069c, 69276, 69736
0xGCL_InitArgStack_80020868, 69736, 69756
0x8002087c, 69756, 69872
0x800208f0, 69872, 69892
0x80020904, 69892, 69920
0x80020920, 69920, 69940
0x80020934, 69940, 69968
0x80020950, 69968, 69992
0x80020968, 69992, 70120
0x800209e8, 70120, 70164
0x80020a14, 70164, 70256
0x80020a70, 70256, 70308
0x80020aa4, 70308, 70356
0x80020ad4, 70356, 70396
0x80020b68, 70504, 70544
0x80020b90, 70544, 70580
0x80020bb4, 70580, 70668
0x80020c0c, 70668, 71340
0x80020eac, 71340, 72292
0x80021264, 72292, 72396
0x800212cc, 72396, 72468
0x80021314, 72468, 72840
0x80021488, 72840, 73268
0x80021634, 73268, 73500
0x8002171c, 73500, 73712
0x800217f0, 73712, 73984
0x80021900, 73984, 74024
0x80021928, 74024, 74184
0x800219c8, 74184, 74228
0x800219f4, 74228, 74464
0x80021ae0, 74464, 74816
0x80021c40, 74816, 74852
0x80021c64, 74852, 75116
0x80021d6c, 75116, 75308
0x80021e2c, 75308, 75460
0x80021ec4, 75460, 75532
0x80021f0c, 75532, 75592
0x80021f48, 75592, 75624
0x80021f68, 75624, 75632
0x80021f70, 75632, 75744
0x80021fe0, 75744, 75812
0x80022024, 75812, 75912
0x80022088, 75912, 75920
0x80022090, 75920, 76388
0x80022264, 76388, 77736
0x800227a8, 77736, 77836
0x8002280c, 77836, 77908
0x80022854, 77908, 77924
0x80022864, 77924, 77960
0x80022888, 77960, 77976
0x80022898, 77976, 78036
0x800228d4, 78036, 78104
0x80022918, 78104, 78204
0x8002297c, 78204, 78684
0x80022b5c, 78684, 79036
0x80022cbc, 79036, 79104
0x80022d00, 79104, 79308
0x80022dcc, 79308, 79440
0x80022e50, 79440, 80296
0x800231a8, 80296, 80500
0x80023274, 80500, 80748
0x8002336c, 80748, 80992
0x80023460, 80992, 81444
0x80023624, 81444, 81632
0x800236e0, 81632, 81856
0x800237c0, 81856, 81924
0x80023804, 81924, 82016
0x80023860, 82016, 82332
0x80023c40, 83008, 83348
0x80023d94, 83348, 83468
0x80023e0c, 83468, 83484
0x80023e1c, 83484, 83492
0x80023e24, 83492, 83852
0x80023f8c, 83852, 83860
0x80023f94, 83860, 83924
0x80023fd4, 83924, 84008
0x80024028, 84008, 84064
0x80024060, 84064, 84120
0x80024098, 84120, 84176
0x800240d0, 84176, 84192
0x800240e0, 84192, 84360
0x80024188, 84360, 84372
0x800241b4, 84404, 84424
0x800241c8, 84424, 84644
0x800243b8, 84920, 84936
0x800243c8, 84936, 84952
0x800243d8, 84952, 84996
0x80024404, 84996, 85024
0x80024420, 85024, 85212
0x800244dc, 85212, 85228
0x800244ec, 85228, 85244
0x800244fc, 85244, 85284
0x80024524, 85284, 85340
0x8002455c, 85340, 85396
0x80024594, 85396, 85452
0x800245cc, 85452, 85492
0x800245f4, 85492, 85548
0x8002462c, 85548, 85604
0x80024664, 85604, 85660
0x8002469c, 85660, 85696
0x800246c0, 85696, 85992
0x800247e8, 85992, 86368
0x80024960, 86368, 86476
0x800249cc, 86476, 86588
0x80024a3c, 86588, 86612
0x80024a54, 86612, 87624
0x80024e48, 87624, 88260
0x800250c4, 88260, 88440
0x80025178, 88440, 88912
0x80025350, 88912, 89028
0x800253c4, 89028, 89196
0x8002546c, 89196, 89300
0x800254d4, 89300, 89372
0x8002551c, 89372, 89420
0x8002554c, 89420, 89756
0x8002569c, 89756, 90032
0x800257b0, 90032, 90048
0x800257c0, 90048, 90288
0x800258b0, 90288, 90372
0x80025904, 90372, 90492
0x8002597c, 90492, 90524
0x8002599c, 90524, 90748
0x80025a7c, 90748, 92364
0x800260cc, 92364, 92412
0x800260fc, 92412, 92500
0x80026154, 92500, 92608
0x800261c0, 92608, 92716
0x8002622c, 92716, 92732
0x8002623c, 92732, 92740
0x80026244, 92740, 92748
0x8002624c, 92748, 92908
0x80026308, 92936, 92956
0x8002631c, 92956, 93060
0x80026384, 93060, 93104
0x800263b0, 93104, 93156
0x800263e4, 93156, 93208
0x80026418, 93208, 93248
0x80026440, 93248, 93292
0x8002646c, 93292, 93360
0x800264b0, 93360, 93444
0x8002667c, 93820, 93908
0x800266d4, 93908, 94004
0x80026734, 94004, 94100
0x800268ac, 94380, 94500
0x80026924, 94500, 94624
0x800269a0, 94624, 94756
0x80026bc4, 95172, 95336
0x80026c68, 95336, 96992
0x800272e0, 96992, 97156
0x80027384, 97156, 97564
0x8002751c, 97564, 97704
0x800275a8, 97704, 97972
0x800276b4, 97972, 98384
0x80027850, 98384, 98716
0x8002799c, 98716, 98964
0x80027a94, 98964, 99320
0x80027bf8, 99320, 99428
0x80027c64, 99428, 99712
0x80027d80, 99712, 100112
0x80027f10, 100112, 101460
0x80028454, 101460, 102432
0x80028820, 102432, 102448
0x80028830, 102448, 102464
0x80028840, 102464, 102544
0x80028890, 102544, 102588
0x800288bc, 102588, 102624
0x800288e0, 102624, 102704
0x80028930, 102704, 103672
0x80028cf8, 103672, 103852
0x80028dac, 103852, 104600
0x80029098, 104600, 105188
0x800292e4, 105188, 105220
0x80029304, 105220, 105252
0x80029324, 105252, 105312
0x80029360, 105312, 105348
0x80029384, 105348, 105748
0x80029514, 105748, 105988
0x80029604, 105988, 106180
0x800296c4, 106180, 106688
0x800298c0, 106688, 106716
0x800298dc, 106716, 106744
0x800298f8, 106744, 106796
0x80029a2c, 107052, 107100
0x80029a5c, 107100, 107116
0x80029a6c, 107116, 107188
0x80029ab4, 107188, 107244
0x80029aec, 107244, 107420
0x80029b9c, 107420, 107856
0x80029d50, 107856, 108688
0x8002a090, 108688, 109044
0x8002a1f4, 109044, 109144
0x8002a258, 109144, 109180
0x8002a27c, 109180, 109752
0x8002a4b8, 109752, 109880
0x8002a538, 109880, 110048
0x8002a5e0, 110048, 110340
0x8002a704, 110340, 110384
0x8002a730, 110384, 110468
0x8002a784, 110468, 110552
0x8002a7d8, 110552, 110664
0x8002a848, 110664, 110720
0x8002a880, 110720, 110736
0x8002a890, 110736, 110768
0x8002a8b0, 110768, 110788
0x8002a8c4, 110788, 110828
0x8002a8ec, 110828, 110944
0x8002a960, 110944, 110968
0x8002a978, 110968, 111120
0x8002aa10, 111120, 111176
0x8002aa48, 111176, 111232
0x8002aa80, 111232, 111280
0x8002aab0, 111280, 111340
0x8002aaec, 111340, 111424
0x8002ab40, 111424, 111524
0x8002aba4, 111524, 111604
0x8002abf4, 111604, 111684
0x8002ac44, 111684, 111772
0x8002ac9c, 111772, 112060
0x8002adbc, 112060, 114008
0x8002b558, 114008, 114032
0x8002b570, 114032, 114176
0x8002b600, 114176, 114220
0x8002b62c, 114220, 114376
0x8002b6c8, 114376, 114448
0x8002b710, 114448, 114556
0x8002b77c, 114556, 114772
0x8002ca48, 119368, 119468
0x8002d1a8, 121256, 121308
